Id,Weekly_Sales
1_3_2013-03-22,10850.041099999997
1_3_2013-03-29,11387.724899999996
1_3_2013-04-05,11828.9545
1_3_2013-04-12,11174.147200000005
1_3_2013-04-19,10667.129199999998
1_3_2013-04-26,10279.269899999996
1_3_2013-05-03,14630.358600000003
1_3_2013-05-10,14843.870300000004
1_3_2013-05-17,15536.0593
1_3_2013-05-24,16460.675200000005
1_3_2013-05-31,18347.902999999995
1_3_2013-06-07,16183.148100000002
1_3_2013-06-14,15168.256400000004
1_3_2013-06-21,16442.885299999998
1_3_2013-06-28,18415.050399999993
1_3_2013-07-05,18786.2462
1_3_2013-07-12,27536.089899999988
1_3_2013-07-19,35766.405799999986
1_3_2013-07-26,41333.14680000003
1_4_2012-11-02,38638.76660000002
1_4_2012-11-09,38072.14740000002
1_4_2012-11-16,36754.60830000002
1_4_2012-11-23,46947.396300000015
1_4_2012-11-30,39567.32600000001
1_4_2012-12-07,38499.52180000002
1_4_2012-12-14,37971.96470000002
1_4_2012-12-21,41091.51000000004
1_4_2012-12-28,37780.252100000034
1_4_2013-01-04,39005.042000000016
1_4_2013-01-11,37507.22500000002
1_4_2013-01-18,36147.860400000005
1_4_2013-01-25,35231.43120000002
1_4_2013-02-01,40846.58260000001
1_4_2013-02-08,40698.0704
1_4_2013-02-15,36838.07210000001
1_4_2013-02-22,36245.39070000002
1_4_2013-03-01,38878.28000000001
1_4_2013-03-08,39410.673700000014
1_4_2013-03-15,36615.4084
1_4_2013-03-22,38703.064799999986
1_4_2013-03-29,37960.615499999985
1_4_2013-04-05,40961.132799999985
1_4_2013-04-12,37111.5359
1_4_2013-04-19,37605.840499999984
1_4_2013-04-26,36773.41320000001
1_4_2013-05-03,58116.091399999976
1_4_2013-05-10,56222.643200000006
1_4_2013-05-17,55820.795900000034
1_4_2013-05-24,55217.83490000002
1_4_2013-05-31,54569.59590000001
1_4_2013-06-07,57789.492999999995
1_4_2013-06-14,55760.99720000004
1_4_2013-06-21,55136.69980000004
1_4_2013-06-28,54281.77840000001
1_4_2013-07-05,57864.54769999999
1_4_2013-07-12,56302.90060000002
1_4_2013-07-19,56491.89910000004
1_4_2013-07-26,54965.19890000002
1_5_2012-11-02,31192.7212
1_5_2012-11-09,31373.215900000003
1_5_2012-11-16,29924.15210000001
1_5_2012-11-23,90583.26900000003
1_5_2012-11-30,43194.12010000001
1_5_2012-12-07,50443.94280000001
1_5_2012-12-14,52223.11750000002
1_5_2012-12-21,68176.47480000003
1_5_2012-12-28,44032.076199999974
1_5_2013-01-04,25664.98339999999
1_5_2013-01-11,24397.5966
1_5_2013-01-18,23457.941500000004
1_5_2013-01-25,22977.348199999986
1_5_2013-02-01,28955.29890000002
1_5_2013-02-08,33199.06349999999
1_5_2013-02-15,34174.14760000001
1_5_2013-02-22,31788.988400000002
1_5_2013-03-01,31270.90929999999
1_5_2013-03-08,27923.277000000002
1_5_2013-03-15,26691.832799999996
1_5_2013-03-22,26214.40519999999
1_5_2013-03-29,29919.166400000006
1_5_2013-04-05,27760.215999999997
1_5_2013-04-12,24211.03409999998
1_5_2013-04-19,22965.610699999994
1_5_2013-04-26,25403.36489999999
1_5_2013-05-03,38348.80009999997
1_5_2013-05-10,39980.22709999997
1_5_2013-05-17,38224.78169999998
1_5_2013-05-24,35138.808999999965
1_5_2013-05-31,33862.11969999997
1_5_2013-06-07,34396.66209999996
1_5_2013-06-14,34592.14699999997
1_5_2013-06-21,33922.69319999997
1_5_2013-06-28,34097.09719999997
1_5_2013-07-05,35623.40119999997
1_5_2013-07-12,34632.81619999998
1_5_2013-07-19,35089.01679999997
1_5_2013-07-26,33219.038199999995
1_6_2012-11-02,4134.547999999999
1_6_2012-11-09,4117.187499999997
1_6_2012-11-16,4184.992199999999
1_6_2012-11-23,19789.53760000001
1_6_2012-11-30,9027.512599999996
1_6_2012-12-07,7152.3483000000015
1_6_2012-12-14,9530.869800000004
1_6_2012-12-21,16487.5526
1_6_2012-12-28,10180.350199999993
1_6_2013-01-04,3337.515700000001
1_6_2013-01-11,3133.0033000000008
1_6_2013-01-18,2922.4256999999993
1_6_2013-01-25,2894.4079999999994
1_6_2013-02-01,4073.8818000000006
1_6_2013-02-08,4820.554299999998
1_6_2013-02-15,4222.149
1_6_2013-02-22,4322.5801
1_6_2013-03-01,3922.4042999999992
1_6_2013-03-08,3960.969
1_6_2013-03-15,4200.620500000001
1_6_2013-03-22,4380.6065000000035
1_6_2013-03-29,4352.9738
1_6_2013-04-05,4300.332900000003
1_6_2013-04-12,4097.565800000001
1_6_2013-04-19,4238.759000000001
1_6_2013-04-26,3938.2438
1_6_2013-05-03,8656.151600000003
1_6_2013-05-10,7369.780500000003
1_6_2013-05-17,7588.907800000004
1_6_2013-05-24,9499.90070000001
1_6_2013-05-31,8509.0931
1_6_2013-06-07,7301.453799999999
1_6_2013-06-14,8213.9824
1_6_2013-06-21,7845.873400000003
1_6_2013-06-28,7096.433500000002
1_6_2013-07-05,9065.567500000008
1_6_2013-07-12,8020.007700000003
1_6_2013-07-19,7139.7074
1_6_2013-07-26,7629.086700000001
1_7_2012-11-02,31579.63369999999
1_7_2012-11-09,29584.49469999999
1_7_2012-11-16,32290.259499999996
1_7_2012-11-23,98210.66199999995
1_7_2012-11-30,64005.9338
1_7_2012-12-07,66606.49140000001
1_7_2012-12-14,84126.67289999995
1_7_2012-12-21,131824.8055000001
1_7_2012-12-28,47932.34839999996
1_7_2013-01-04,14632.820000000002
1_7_2013-01-11,14289.555600000014
1_7_2013-01-18,13882.205600000014
1_7_2013-01-25,14718.053800000005
1_7_2013-02-01,21626.059499999996
1_7_2013-02-08,23763.07960000001
1_7_2013-02-15,22208.656999999996
1_7_2013-02-22,21762.6675
1_7_2013-03-01,22408.9542
1_7_2013-03-08,21779.439899999998
1_7_2013-03-15,23075.524700000013
1_7_2013-03-22,24363.122699999985
1_7_2013-03-29,22708.130499999985
1_7_2013-04-05,28095.392300000014
1_7_2013-04-12,24267.218100000006
1_7_2013-04-19,25004.74829999998
1_7_2013-04-26,23710.71329999999
1_7_2013-05-03,47773.265300000014
1_7_2013-05-10,46356.20190000001
1_7_2013-05-17,46622.41060000002
1_7_2013-05-24,55765.84990000003
1_7_2013-05-31,49052.294399999984
1_7_2013-06-07,53246.33339999998
1_7_2013-06-14,49892.63710000002
1_7_2013-06-21,50235.31570000001
1_7_2013-06-28,46960.756399999984
1_7_2013-07-05,52587.043699999995
1_7_2013-07-12,46344.081799999985
1_7_2013-07-19,46981.8094
1_7_2013-07-26,43261.9598
1_8_2012-11-02,41901.86840000001
1_8_2012-11-09,41108.639200000005
1_8_2012-11-16,40514.46549999999
1_8_2012-11-23,43524.735700000005
1_8_2012-11-30,43738.78470000002
1_8_2012-12-07,44278.61749999999
1_8_2012-12-14,43427.87229999999
1_8_2012-12-21,45589.90180000001
1_8_2012-12-28,38729.17869999997
1_8_2013-01-04,39493.39160000002
1_8_2013-01-11,38360.7018
1_8_2013-01-18,38056.51100000001
1_8_2013-01-25,38442.48470000001
1_8_2013-02-01,42131.01160000002
1_8_2013-02-08,41768.08830000001
1_8_2013-02-15,41038.56999999999
1_8_2013-02-22,40551.44230000001
1_8_2013-03-01,41134.9932
1_8_2013-03-08,40862.8077
1_8_2013-03-15,38822.3004
1_8_2013-03-22,40399.43469999999
1_8_2013-03-29,40840.16659999999
1_8_2013-04-05,43313.619000000006
1_8_2013-04-12,41077.918499999985
1_8_2013-04-19,41739.3776
1_8_2013-04-26,41146.987600000015
1_8_2013-05-03,62293.93719999996
1_8_2013-05-10,59579.0721
1_8_2013-05-17,59068.9537
1_8_2013-05-24,59163.60200000002
1_8_2013-05-31,58895.9168
1_8_2013-06-07,60083.94880000002
1_8_2013-06-14,59444.925999999985
1_8_2013-06-21,58738.00909999998
1_8_2013-06-28,57659.89469999999
1_8_2013-07-05,61161.64709999999
1_8_2013-07-12,59154.3358
1_8_2013-07-19,59252.2104
1_8_2013-07-26,57499.5778
1_9_2012-11-02,43933.18250000002
1_9_2012-11-09,38837.64509999996
1_9_2012-11-16,35997.74869999997
1_9_2012-11-23,47689.77780000005
1_9_2012-11-30,38769.06159999999
1_9_2012-12-07,34047.570199999995
1_9_2012-12-14,33396.662500000006
1_9_2012-12-21,40760.65059999999
1_9_2012-12-28,30758.3116
1_9_2013-01-04,19171.1002
1_9_2013-01-11,19367.997300000003
1_9_2013-01-18,17917.986500000003
1_9_2013-01-25,18554.501600000003
1_9_2013-02-01,24249.575500000017
1_9_2013-02-08,26344.95080000002
1_9_2013-02-15,24066.30809999999
1_9_2013-02-22,26016.54979999999
1_9_2013-03-01,30357.939199999993
1_9_2013-03-08,30951.979300000006
1_9_2013-03-15,31652.536300000007
1_9_2013-03-22,33765.44069999999
1_9_2013-03-29,32833.3997
1_9_2013-04-05,32495.845499999985
1_9_2013-04-12,31216.14149999999
1_9_2013-04-19,32391.546799999996
1_9_2013-04-26,31512.157199999998
1_9_2013-05-03,35732.640099999975
1_9_2013-05-10,34279.284600000006
1_9_2013-05-17,35453.566000000006
1_9_2013-05-24,38074.49269999997
1_9_2013-05-31,37415.38799999998
1_9_2013-06-07,36755.83289999999
1_9_2013-06-14,37277.16349999998
1_9_2013-06-21,36778.991599999994
1_9_2013-06-28,34888.21939999999
1_9_2013-07-05,36669.373699999975
1_9_2013-07-12,35350.39769999998
1_9_2013-07-19,36265.287799999984
1_9_2013-07-26,34467.110700000005
1_10_2012-11-02,31151.320499999994
1_10_2012-11-09,31273.309799999995
1_10_2012-11-16,31317.94489999997
1_10_2012-11-23,34099.17409999997
1_10_2012-11-30,31123.80059999999
1_10_2012-12-07,31427.665399999976
1_10_2012-12-14,30591.470599999986
1_10_2012-12-21,32512.629099999976
1_10_2012-12-28,30382.641799999987
1_10_2013-01-04,29928.674699999996
1_10_2013-01-11,28836.274700000005
1_10_2013-01-18,27898.172499999997
1_10_2013-01-25,27039.96080000001
1_10_2013-02-01,34002.94010000001
1_10_2013-02-08,34759.45799999999
1_10_2013-02-15,34725.90799999998
1_10_2013-02-22,34592.98709999997
1_10_2013-03-01,34976.371900000006
1_10_2013-03-08,32937.0314
1_10_2013-03-15,31264.682099999998
1_10_2013-03-22,33950.27629999998
1_10_2013-03-29,35541.267899999984
1_10_2013-04-05,35365.7717
1_10_2013-04-12,31264.24489999998
1_10_2013-04-19,31090.82209999998
1_10_2013-04-26,30258.771899999985
1_10_2013-05-03,37156.58909999999
1_10_2013-05-10,35854.689099999996
1_10_2013-05-17,36265.06200000001
1_10_2013-05-24,40491.374199999984
1_10_2013-05-31,38134.09939999999
1_10_2013-06-07,37209.5259
1_10_2013-06-14,38429.07409999999
1_10_2013-06-21,38081.46740000001
1_10_2013-06-28,37030.290200000025
1_10_2013-07-05,39359.69209999999
1_10_2013-07-12,37399.8874
1_10_2013-07-19,37123.36290000001
1_10_2013-07-26,35715.47250000001
1_11_2012-11-02,24329.397099999995
1_11_2012-11-09,22068.225299999995
1_11_2012-11-16,22217.186699999995
1_11_2012-11-23,26171.201800000006
1_11_2012-11-30,23260.882899999986
1_11_2012-12-07,28891.668000000016
1_11_2012-12-14,28537.208299999995
1_11_2012-12-21,29362.21719999999
1_11_2012-12-28,23392.8354
1_11_2013-01-04,24041.837800000012
1_11_2013-01-11,23670.466700000004
1_11_2013-01-18,22570.33190000001
1_11_2013-01-25,20180.59210000002
1_11_2013-02-01,22502.462199999998
1_11_2013-02-08,23471.700999999997
1_11_2013-02-15,23601.886300000013
1_11_2013-02-22,22188.589100000005
1_11_2013-03-01,22957.598700000002
1_11_2013-03-08,23228.808699999998
1_11_2013-03-15,21674.932800000006
1_11_2013-03-22,23105.449600000004
1_11_2013-03-29,22658.631600000008
1_11_2013-04-05,23706.837999999992
1_11_2013-04-12,21745.4843
1_11_2013-04-19,22238.186599999997
1_11_2013-04-26,21022.10600000001
1_11_2013-05-03,24613.585499999994
1_11_2013-05-10,24180.7004
1_11_2013-05-17,25241.30259999999
1_11_2013-05-24,31735.429599999985
1_11_2013-05-31,32270.365999999995
1_11_2013-06-07,33217.395299999975
1_11_2013-06-14,34445.423999999985
1_11_2013-06-21,33370.95759999997
1_11_2013-06-28,36954.70979999998
1_11_2013-07-05,32963.302799999976
1_11_2013-07-12,31809.49919999998
1_11_2013-07-19,30818.173999999988
1_11_2013-07-26,27363.40919999999
1_12_2012-11-02,9572.679100000005
1_12_2012-11-09,9700.459800000008
1_12_2012-11-16,8777.563699999997
1_12_2012-11-23,7934.705099999987
1_12_2012-11-30,8372.3305
1_12_2012-12-07,8604.976399999994
1_12_2012-12-14,7841.211800000001
1_12_2012-12-21,8200.131799999996
1_12_2012-12-28,7659.838799999998
1_12_2013-01-04,7320.745799999999
1_12_2013-01-11,8286.773299999997
1_12_2013-01-18,7788.941900000001
1_12_2013-01-25,8513.754700000005
1_12_2013-02-01,10070.201900000004
1_12_2013-02-08,9878.952899999998
1_12_2013-02-15,9347.089299999992
1_12_2013-02-22,9481.478599999995
1_12_2013-03-01,10089.28050000001
1_12_2013-03-08,10430.961
1_12_2013-03-15,11067.931799999998
1_12_2013-03-22,11530.632699999995
1_12_2013-03-29,10771.167799999997
1_12_2013-04-05,10755.031600000002
1_12_2013-04-12,10333.748700000002
1_12_2013-04-19,10704.829200000002
1_12_2013-04-26,10711.8801
1_12_2013-05-03,10060.811000000005
1_12_2013-05-10,9653.484500000002
1_12_2013-05-17,9352.705100000003
1_12_2013-05-24,10280.280700000001
1_12_2013-05-31,10238.153199999999
1_12_2013-06-07,10100.411600000001
1_12_2013-06-14,10045.119200000003
1_12_2013-06-21,10067.245400000005
1_12_2013-06-28,10013.763700000005
1_12_2013-07-05,10119.723100000001
1_12_2013-07-12,10097.170999999997
1_12_2013-07-19,10101.666200000003
1_12_2013-07-26,9902.298600000002
1_13_2012-11-02,42491.9438
1_13_2012-11-09,40029.7893
1_13_2012-11-16,38240.01539999997
1_13_2012-11-23,39180.96219999998
1_13_2012-11-30,37331.289699999965
1_13_2012-12-07,39840.92059999996
1_13_2012-12-14,36286.10759999997
1_13_2012-12-21,37126.715499999984
1_13_2012-12-28,36907.3648
1_13_2013-01-04,40507.38909999995
1_13_2013-01-11,38916.4213
1_13_2013-01-18,37735.287599999996
1_13_2013-01-25,37119.67239999999
1_13_2013-02-01,42026.78819999997
1_13_2013-02-08,42603.651600000005
1_13_2013-02-15,39914.39749999999
1_13_2013-02-22,39662.0249
1_13_2013-03-01,42100.64089999999
1_13_2013-03-08,40533.137100000014
1_13_2013-03-15,38556.86299999998
1_13_2013-03-22,39995.037299999996
1_13_2013-03-29,39702.77859999999
1_13_2013-04-05,42956.92009999997
1_13_2013-04-12,39324.023799999966
1_13_2013-04-19,39368.70459999996
1_13_2013-04-26,39090.54049999997
1_13_2013-05-03,69633.00810000002
1_13_2013-05-10,67760.63060000002
1_13_2013-05-17,66782.16609999999
1_13_2013-05-24,66380.33250000003
1_13_2013-05-31,65842.16070000001
1_13_2013-06-07,69183.50439999996
1_13_2013-06-14,66825.4955
1_13_2013-06-21,66841.78980000001
1_13_2013-06-28,66455.38060000003
1_13_2013-07-05,68225.14399999999
1_13_2013-07-12,67346.2791
1_13_2013-07-19,68823.5145
1_13_2013-07-26,67790.15350000001
1_14_2012-11-02,17365.571800000005
1_14_2012-11-09,17545.944600000006
1_14_2012-11-16,19774.602500000005
1_14_2012-11-23,54213.12069999998
1_14_2012-11-30,31021.610100000005
1_14_2012-12-07,30696.97639999999
1_14_2012-12-14,32240.709400000007
1_14_2012-12-21,46803.38030000002
1_14_2012-12-28,31974.610899999992
1_14_2013-01-04,16095.424399999994
1_14_2013-01-11,16169.9703
1_14_2013-01-18,14761.596899999988
1_14_2013-01-25,13774.268599999996
1_14_2013-02-01,17307.324500000013
1_14_2013-02-08,17508.1622
1_14_2013-02-15,18825.09240000001
1_14_2013-02-22,17966.249200000017
1_14_2013-03-01,18121.177200000006
1_14_2013-03-08,16987.199500000002
1_14_2013-03-15,15513.09350000001
1_14_2013-03-22,15938.446200000006
1_14_2013-03-29,16898.99500000001
1_14_2013-04-05,18772.593100000006
1_14_2013-04-12,15622.099000000002
1_14_2013-04-19,15580.390300000005
1_14_2013-04-26,15489.169700000004
1_14_2013-05-03,25679.0031
1_14_2013-05-10,25020.395400000005
1_14_2013-05-17,25312.55420000001
1_14_2013-05-24,26694.773200000003
1_14_2013-05-31,23726.946600000003
1_14_2013-06-07,25100.957500000004
1_14_2013-06-14,25425.420400000006
1_14_2013-06-21,25027.0368
1_14_2013-06-28,23397.509299999998
1_14_2013-07-05,27738.454100000006
1_14_2013-07-12,24932.348399999995
1_14_2013-07-19,25207.265399999997
1_14_2013-07-26,23472.246499999994
1_16_2012-11-02,6490.140399999999
1_16_2012-11-09,6121.159000000001
1_16_2012-11-16,5853.953300000002
1_16_2012-11-23,8656.832999999999
1_16_2012-11-30,5962.4890000000005
1_16_2012-12-07,6045.346799999998
1_16_2012-12-14,5184.434500000001
1_16_2012-12-21,6280.650999999997
1_16_2012-12-28,5890.624999999997
1_16_2013-01-04,6494.1461
1_16_2013-01-11,7346.148700000002
1_16_2013-01-18,6463.464300000001
1_16_2013-01-25,8562.913199999999
1_16_2013-02-01,13628.574899999998
1_16_2013-02-08,15211.213700000004
1_16_2013-02-15,13442.539700000005
1_16_2013-02-22,15059.61490000001
1_16_2013-03-01,24290.6673
1_16_2013-03-08,24909.042499999996
1_16_2013-03-15,34902.41559999999
1_16_2013-03-22,42456.27240000001
1_16_2013-03-29,31248.765400000004
1_16_2013-04-05,42089.18160000001
1_16_2013-04-12,40501.673599999995
1_16_2013-04-19,43329.72140000002
1_16_2013-04-26,39520.05480000001
1_16_2013-05-03,40779.59030000001
1_16_2013-05-10,37965.5661
1_16_2013-05-17,35733.69040000001
1_16_2013-05-24,43069.59899999999
1_16_2013-05-31,41677.093400000005
1_16_2013-06-07,40314.20510000003
1_16_2013-06-14,40634.89980000003
1_16_2013-06-21,40587.69530000002
1_16_2013-06-28,38701.3151
1_16_2013-07-05,41991.30910000003
1_16_2013-07-12,36239.25700000002
1_16_2013-07-19,34149.0162
1_16_2013-07-26,27967.998499999998
1_17_2012-11-02,8870.762599999996
1_17_2012-11-09,9494.470300000004
1_17_2012-11-16,9765.4964
1_17_2012-11-23,15861.300499999994
1_17_2012-11-30,11971.662099999998
1_17_2012-12-07,13382.649499999998
1_17_2012-12-14,14098.672700000001
1_17_2012-12-21,17347.566399999996
1_17_2012-12-28,12477.767499999993
1_17_2013-01-04,9601.563499999998
1_17_2013-01-11,9612.8381
1_17_2013-01-18,9270.209099999996
1_17_2013-01-25,8810.307099999998
1_17_2013-02-01,9799.141599999994
1_17_2013-02-08,10259.047599999985
1_17_2013-02-15,10338.841499999995
1_17_2013-02-22,10303.842099999996
1_17_2013-03-01,11040.6495
1_17_2013-03-08,10790.431499999999
1_17_2013-03-15,10176.9218
1_17_2013-03-22,9500.661100000003
1_17_2013-03-29,10312.556299999998
1_17_2013-04-05,9534.133499999994
1_17_2013-04-12,9253.497599999999
1_17_2013-04-19,9149.910500000005
1_17_2013-04-26,9528.5381
1_17_2013-05-03,13502.357700000002
1_17_2013-05-10,13547.0543
1_17_2013-05-17,13925.712799999998
1_17_2013-05-24,12598.285899999992
1_17_2013-05-31,12381.884399999997
1_17_2013-06-07,13058.432899999998
1_17_2013-06-14,12632.387299999993
1_17_2013-06-21,12535.243399999988
1_17_2013-06-28,12836.819199999994
1_17_2013-07-05,12239.836999999994
1_17_2013-07-12,12105.139699999998
1_17_2013-07-19,12659.7285
1_17_2013-07-26,13574.6731
1_18_2012-11-02,18890.701799999995
1_18_2012-11-09,16496.057000000008
1_18_2012-11-16,16259.3136
1_18_2012-11-23,40758.62240000003
1_18_2012-11-30,22791.99109999999
1_18_2012-12-07,56654.582400000014
1_18_2012-12-14,44223.22080000002
1_18_2012-12-21,34005.30559999999
1_18_2012-12-28,23076.109
1_18_2013-01-04,7987.8034
1_18_2013-01-11,5062.041199999998
1_18_2013-01-18,3486.6166000000007
1_18_2013-01-25,2213.2673
1_18_2013-02-01,4566.0417000000025
1_18_2013-02-08,10672.342699999987
1_18_2013-02-15,15104.108300000004
1_18_2013-02-22,8081.1143
1_18_2013-03-01,2314.5222999999996
1_18_2013-03-08,3925.622099999999
1_18_2013-03-15,2227.812100000001
1_18_2013-03-22,3651.793100000001
1_18_2013-03-29,6647.516499999997
1_18_2013-04-05,12009.981400000006
1_18_2013-04-12,4242.653199999999
1_18_2013-04-19,1997.8224999999989
1_18_2013-04-26,2389.7473999999997
1_18_2013-05-03,3098.5827000000018
1_18_2013-05-10,2338.1203000000014
1_18_2013-05-17,2041.3358000000014
1_18_2013-05-24,421.4924999999996
1_18_2013-06-07,428.1408
1_18_2013-07-05,422.5935000000002
1_19_2012-11-02,1470.583699999999
1_19_2012-11-09,1454.1224999999988
1_19_2012-11-16,1566.3687999999988
1_19_2012-11-23,1722.7634999999996
1_19_2012-11-30,1632.5308999999988
1_19_2012-12-07,1914.937699999999
1_19_2012-12-14,1942.3377999999998
1_19_2012-12-21,1884.031899999999
1_19_2012-12-28,1478.5218999999997
1_19_2013-01-04,1167.2829000000004
1_19_2013-01-11,1170.8138000000001
1_19_2013-01-18,1221.0753000000004
1_19_2013-01-25,1249.7980999999993
1_19_2013-02-01,1385.5744999999993
1_19_2013-02-08,1473.9952999999985
1_19_2013-02-15,1418.2786999999987
1_19_2013-02-22,1320.7398999999994
1_19_2013-03-01,1543.3111999999983
1_19_2013-03-08,1475.6152999999995
1_19_2013-03-15,1497.2200999999984
1_19_2013-03-22,1362.3941999999993
1_19_2013-03-29,1429.6337999999992
1_19_2013-04-05,1529.0057000000004
1_19_2013-04-12,1489.1415000000002
1_19_2013-04-19,1517.7647000000006
1_19_2013-04-26,1603.7648999999997
1_19_2013-05-03,2552.5490000000004
1_19_2013-05-10,2726.5551
1_19_2013-05-17,2535.4334999999987
1_19_2013-05-24,2219.9481
1_19_2013-05-31,2180.6034000000004
1_19_2013-06-07,2279.0844
1_19_2013-06-14,2215.1799
1_19_2013-06-21,2194.2481000000007
1_19_2013-06-28,2277.5319999999997
1_19_2013-07-05,2168.852700000001
1_19_2013-07-12,2195.273600000001
1_19_2013-07-19,2279.5984999999996
1_19_2013-07-26,2349.8990000000003
1_20_2012-11-02,3614.8250000000025
1_20_2012-11-09,3453.3409
1_20_2012-11-16,3776.142400000003
1_20_2012-11-23,6439.767800000002
1_20_2012-11-30,4252.218300000002
1_20_2012-12-07,4041.862099999999
1_20_2012-12-14,4168.400000000001
1_20_2012-12-21,4762.792900000002
1_20_2012-12-28,4641.786700000004
1_20_2013-01-04,4258.858799999998
1_20_2013-01-11,4477.969900000002
1_20_2013-01-18,4177.179000000001
1_20_2013-01-25,3884.326299999998
1_20_2013-02-01,4547.032899999997
1_20_2013-02-08,5023.8095
1_20_2013-02-15,5198.5207
1_20_2013-02-22,5012.232299999997
1_20_2013-03-01,5381.726
1_20_2013-03-08,5249.7401999999975
1_20_2013-03-15,4918.163099999998
1_20_2013-03-22,4953.0823
1_20_2013-03-29,5182.2287
1_20_2013-04-05,5085.389899999997
1_20_2013-04-12,4674.1816
1_20_2013-04-19,4585.3802000000005
1_20_2013-04-26,4687.427699999998
1_20_2013-05-03,8246.584799999997
1_20_2013-05-10,8070.038899999997
1_20_2013-05-17,8208.228199999998
1_20_2013-05-24,8238.285799999998
1_20_2013-05-31,8167.570500000001
1_20_2013-06-07,8315.567099999997
1_20_2013-06-14,8186.773000000003
1_20_2013-06-21,8352.627899999998
1_20_2013-06-28,8091.264100000004
1_20_2013-07-05,8455.254199999998
1_20_2013-07-12,8341.227000000003
1_20_2013-07-19,8829.139799999997
1_20_2013-07-26,8060.964200000004
1_21_2012-11-02,8132.796100000001
1_21_2012-11-09,8078.241299999997
1_21_2012-11-16,8132.683999999999
1_21_2012-11-23,9953.924000000006
1_21_2012-11-30,8288.189800000002
1_21_2012-12-07,9228.7123
1_21_2012-12-14,10477.186699999998
1_21_2012-12-21,11747.985199999996
1_21_2012-12-28,8239.485500000003
1_21_2013-01-04,7502.301099999996
